"","titles","dates","rating_scores","descriptions"
"1084","Echo Night Beyond","July 27, 2004","60","2044 ? Moon Colony ? A horrific crash on your honeymoon has left you separated from your fiancée. Opening the door to the lunar colony 239,000 miles from Earth ? you find a desolate base haunted by the spectral remains of those who called it home. Prepare to embark on a paranormal journey to the Beyond. Fog, Shadows, and Weightless gravity engulf you in an out of this world experience. Stunning environments and dynamic camera changes will leave you trembling in fear. Challenging puzzles and heart-pounding exploration will take you to the edge and Beyond. [Agetec Inc.]"
"1085","SpongeBob SquarePants: Lights, Camera, Pants!","October 21, 2005","59","Bikini Bottom is abuzz! The producers of everyone's favorite superhero show, ""The Adventures of Mermaidman & Barnacleboy,"" are filming a special episode in Bikini Bottom and using the locals as actors. All your favorites are desperate to impress the talent scouts who have created a series of action-packed challenges to test the wannabe stars. Join SpongeBob, Patrick, Sandy, Squidward, Mr. Krabs and Plankton as you compete against your friends for 10 different roles, including the coveted super villain role. SpongeBob goes multiplayer for the 1st time! Play with up to 4 players in both a competitive and co-operative gameplay experience. Compete to earn roles in a 15-minute, full-fledged episode of ""The Adventures of Mermaidman & Barnacleboy."" Your role changes depending on who plays and wins the game! Play all 30 party-style games in classic SpongeBob-style madness. 3 unique game modes (Story, Quick Game, and D.I.Y. Tournaments) provide endless variety of gameplay. [THQ]"
"1086","Finny the Fish & the Seven Waters","May 17, 2005","59","(Also known as ""Uo: Legend of Seven Waters and Gods"" in the UK/EU and ""Uo Nanatsu no Mizu Densetsu no Nushi"" in Japan)  Finny the Fish is a three dimensional, underwater adventure game where you play through the eyes of a fish. You must solve various puzzles and mysteries to bring back balance to your aquatic home. Just like any fish, you'll need to eat, and more importantly, avoid being eaten?not only by other fish, but the local fishermen as well! It pays to carefully observe what you consume, since some bits of food are actually fishermen?s lures ? if you get caught, you will need to use a variety of skills to try and escape. [Natsume]"
"1087","Disney's Stitch: Experiment 626","June 19, 2002","59","The game takes place before the Lilo & Stitch film begins, showing the massive space universe only hinted at in the movie. The player controls Stitch, using his powers to the fullest: climbing walls and ceilings, dashing with amazing speed, shooting up to four weapons at once (one in each hand), flying with the jetpack, and swinging using the grapple gun. The game features several of the film's memorable characters, including Jumba, Gantu, and Grand Councilwoman."
"1088","Disney's Tarzan Untamed","November 14, 2001","59","Tarzan?s peaceful world falls under siege as a mad Victorian scientist and vicious poachers descend upon the jungle to brutally capture his animal allies. As the primal action hero Tarzan, you must rely on your raw animal instinct and extreme action skills to maneuver through the dense jungle and rescue your animal friends. [Ubi Soft]"
"1089","Arc the Lad: End of Darkness","June 14, 2005","59","(Also known as ""Arc the Lad Generation"" in Japan)  Arc the Lad: End of Darkness takes place five years after, yet in the same world as Arc the Lad: Twilight of the Spirits. Players take the role of Edda, a young man whose youth is marked by a ""boring island life"". His serenity is shattered, however, when he meets Kirika, a rude young woman, on the beach. Shortly after, Edda tries to help a hunter capture vicious criminals, but the latter gets killed. Edda notices Kirika standing nearby, and his suspicions begin to grow about the mysterious young woman. Edda who has awakened as a full-fledged exorcist becomes a hunter himself, and realizing a sense of responsibility to save the weakened world, he sets out on a remarkable journey that will ultimately pit civilization against nature. [Namco]"
"1090","Mobile Light Force 2","March 19, 2003","59","Find and destroy the murderers! Use your special attack or launch an all out aerial assault. Take survival into your control! Each level has a tougher enemy foe and the highest score defeats them."
"1091","Samurai Jack: The Shadow of Aku","March 24, 2004","59","Thrust into the future by the evil Aku, a lone Samurai warrior must quickly find the time portal to the past to rescue his defenseless people. Ancestors of the displaced Samurai call him ""Jack"" and help him through four enemy-filled realms with 24 interactive levels. Samurai Jack suffers various states of undress if he fails to dodge fireballs and sword strikes, but slow-motion attacks, devastating combo moves, and sushi snacks empower the hearty warrior. Through a burning village, the bustling Aku City, and on, Jack blasts through doors, finds hidden pathways, and frees caged locals, bringing him ever closer to fulfilling his great destiny - the defeat of Aku once and for all. Defeat enemies with signature combat moves, plus three elemental Swords, Throwing Stars, and a Bow and Arrow. Defeat enemies with Sakai Mode (slow-motion action). Fight against well-known Samurai Jack foes such as Aku, the Scotsman, Mad Jack, and other unique enemies. Select from three difficulty levels to match your gameplay style. Contributions from the cartoon series creator, artists, voice actors, and composers create an authentic Samurai Jack experience. [Sega]"
"1092","Lethal Skies Elite Pilot: Team SW","May 31, 2002","59","Feel the adrenaline rush as you take off into uncharted skies! Players are thrust into non-stop action as an elite pilot of The International Alliance's Team SW. Choose from an array of fighters and battle the enemy all across the globe in numerous air-to-air and air-to-ground missions. In Lethal Skies, the heart-pounding experience of flying a real-life warplane is yours to have."
"1093","ESPN NBA 2Night 2002","February 25, 2002","59","Blow by defenders and drive through the lane by utilizing ESPN NBA 2Night's new turbo function. The game features new rim-shattering dunks and championship defense including backboard pins, blocked jump shots and steals in the open court. Includes commentary from Brent Musberger, ESPN's Stuart Scott, and 76ers point guard Eric Snow."
"1094","Soldier of Fortune: Gold Edition","November 11, 2001","59","As John Mullins, decorated Vietnam Vet, you must use any means necessary to find and secure three stolen warheads. Track and stop the terrorist organization responsible for the theft before they can carry out their threat to national security. Dispatch as many terrorists, skinheads, and enemy soldiers as necessary to complete your mission. [Majesco]"
"1095","FIFA Street 2","February 28, 2006","59","Prove you have what it takes in four on four gameplay action which captures the passion and flair of real street soccer in this fresh arcade experience.  Humiliate your opponents with the new trick stick beat system, over the top juggling moves and all-new gamebreakers that allow you to win a game like never before. Beat the best in the world by traveling to new International locations ranging from the famous Westway Leisure Centre in London to the beautiful beachside of Brazil. Featuring all new authentic tricks, FIFA Street 2 provides new gameplay experiences by making over the top moves and skills even bigger in this fast paced sequel. Take to the streets, unleash your tricks, and humble your rivals with or without the ball. [Electronic Arts]"
"1096","FIFA Street","February 22, 2005","59","FIFA Street is a combination of arcade action blended with the culture of freestyle street soccer. By removing the rules from the simulation soccer experience, FIFA Street exposes the heart of the world's beautiful game, on-the-ball flare and individual style. Leading this movement are the worlds top professional players, showing off their skills and individual style in 4-on-4 match-ups against the backdrop of global venues that represent the true culture of street soccer. As the first game to support dynamic 1-on-1 encounters, beating your opponent will require skill, technique, and the careful selection of specific moves. As a gamer you'll take on the best and be required to earn their respect, gradually building your reputation and team into an unstoppable force that leads the tide of street soccer. [Electronic Arts]"
"1097","Gauntlet: Seven Sorrows","December 12, 2005","59","Blending an intuitive combat system, accessible RPG elements, and new junction skills, Seven Sorrows features the dynamic co-op it's known for, and, for the first time ever, it is online supporting up to four players. Centuries ago, four immortal heroes set out to kill the most powerful emperor their age had ever known. They failed, and for their crimes, three were crucified on a great tree at the bottom of the world. Mysteriously set free, the heroes set out to finish what they had started, only to find that they must now save their tormentor from his own dreams and madness. Driven to grief by seven acts of deep cruelty and selfishness, the emperor seeks to undo the one that pains him the most: the murder of his lover, Cusirimay. If the ancient heroes cannot undo the emperor's deeds on their own, his mad plans may tear apart the world. Seven Sorrows is the fusion of fantasy fighting action with the strategy of user-friendly RPG elements, providing gamers a deep, engaging gameplay experience complete with solo play, co-op and an online community. The new fighting system allows for easy pick-up-and-play while simultaneously offering deeper choices for more advanced players. Additionally, online RPG and collection elements add significant replay value to the game. [Midway]"
"1098","Rule of Rose","September 12, 2006","59","March, 1930. A young girl named Jennifer, whose parents were killed in a tragic airship accident, is taken to the Rose Garden Orphanage, located in a remote portion of the English countryside. What Jennifer discovers is a dilapidated building and a ragtag mob of children who call themselves the ""Aristocracy of the Red Crayon."" The demented residents of Rose Garden kidnap Jennifer and take her into the dark heart of an impossibly large zeppelin, on a meandering course for a distant land. Now, with the help of a canine companion named Brown, Jennifer has to find valuable gifts for the Aristocracy, or suffer a fatal punishment for her insolence...Befriend a faithful dog and work together to locate crucial items. Intense melee combat against bloodthirsty monsters. Multiple endings and hidden extras. [Atlus USA]"
"1099","Frogger's Adventures: The Rescue","October 29, 2003","59","Frogger's Adventures The Rescue goes beyond Firefly Swamp and brings a multiplayer mode to Frogger fans for the first time on next generation platforms. The series' famous ""hop-n-dodge"" gameplay return as Frogger travels across seven diverse worlds, searches for clues to solve challenging puzzles and avoids menacing enemies. ""Hop-n-dodge"" style gamplay to appeal to players of all levels. Wide range of mini-quests and side stories. Seven worlds with over 25 levels. [Konami]"
"1100","Futurama","August 14, 2003","59","Futurama begins when Professor Farnsworth sells his delivery ship Planet Express to the evil businesswoman Mom, giving her ownership of over fifty percent of the Earth, making her the supreme ruler. You must prevent Mom from enslaving humanity and dominating the universe by taking the Planet Express crew back in time to stop the deal from taking place. Play as Fry, Bender, Leela and Dr. Zoidberg, each with their own special fighting skills and weapons as you visit familiar scenes from the hit series: Planet Express, the Red Light District, New New York, as well as a host of new environments. With each character's unique skills, you can master their power ups and complete their tasks leading them to victory against Mom and her death bot troopers. [Vivendi Universal]"
"1101","Yu-Gi-Oh! The Duelists of the Roses","February 16, 2003","59","The lineage of Yugi and Kaiba clash again! Choose your side in the final Rose War in England and fight to collect the opposing army's rose cards and overthrow the enemy. Attack with your powerful deck in order to defeat duelists seen in the hit animated series. An all-new card movement system allows full control of over 600 different monsters and introduces advanced strategies never before seen in the Yu-Gi-Oh! world. Card Movement Battle System enhances the strategy. Side with Yugi or Kaiba to determine the course of the game. 680 beautifully rendered monsters in full 3D. 3 exclusive game cards included. [Konami]"
"1102","Legends of Wrestling II","November 26, 2002","59","Features over 65 of the greatest ring warriors ever including the icon Hulk Hogan, Andre ""The Giant"", Rowdy Roddy Piper, Bruno Sammartino, Bret ""Hitman"" Hart, Sid Vicious, ""Big Poppa Pump"" Scott Steiner, Jerry ""The King"" Lawler, and many more! Cranium-crushing match types, such as 6- and 8-man Elimination Bouts, Cage, Battle Royal, Ladder, Table and 3- and 4-way dances. Never-before-seen $15,000 Body Slam Challenge with Big John Studd. [Acclaim]"
"1103","Total Immersion Racing","November 20, 2002","59","In Total Immersion Racing, other drivers will remember your actions on track. Always listen to your Team Manager. Be careful that you don't block a rival on track, or destroy the chances of a driver i na lower class, as he will remember your actions going into the next race and beyond. Remember that rivalries never die, and later on in your career you may regret the time you upset another driver - as they may decide to get revenge by ruining your championship run. [Empire Interactive]"
"1104","Avatar: The Last Airbender","October 10, 2006","59","Bring to life an adventure of intrigue, deceit and revelation in Avatar The Last Airbender. Play as Aang, Katara, Haru and Sokka as you grow your team into an unstoppable force making discoveries in a thrilling blend of magic and martial arts combat. Use your fully customizable bending powers to master the four elements of Earth, Air, Water and Fire and explore the beautifully detailed environments of the Avatar nations. Single-player game featuring unique martial arts style combat. Fully customizable ""bending powers"" mastering the four elements of Water, Air, Earth and Fire. Journey through all the Great Nations of the Avatar world. Enjoy environments and characters from the TV show plus never before seen enemies and creatures. [THQ]"
"1105","Cabela's Big Game Hunter","November 26, 2002","59","Choose from a variety of different hunters and an array of firearm, clothing, gear and equipment options. Explore numerous rugged, wild hunting terrains and use the detailed on-screen map to stay informed of the location of your vehicle, campsite, lodge and prime hunting spots. An in-game guide offers tips and advice, and keeps you hot-on-the-trail of trophy game. A health meter lets you know when inclement weather, lack of food and water or run-ins with dangerous animals are taking their toll. The Trophy Beacon and X-Ray option gives novice hunters the necessary information for a quick, clean kill and aids in downed-game recovery. [Cabela's]"
"1106","The Lord of the Rings: The Fellowship of the Ring","October 16, 2002","59","Undertake a fantastic journey following the same path as the Fellowship in the book. Play as either Frodo, Aragorn, or Gandalf the Grey. As you take the fabled One Ring closer to its fate, you will explore the most dangerous wilds of Middle-earth from the Shire to the very edge of Mordor. [Universal Interactive]"
"1107","The Hobbit","November 11, 2003","59","Set in the mythical world of Middle-earth, The Hobbit is an action adventure game in which the player assumes the role of Bilbo Baggins. Control Bilbo from his peaceful Hobbit hole in Hobbiton into the dark and harrowing Mirkwood forest and finally to the Lonely Mountain, in which lies Smaug the dragon. Sent on a journey by Gandalf the wizard along with Thorin the dwarf and his stout and sturdy cohorts, Bilbo will acquire items, knowledge, and in the case of a Hobbit, courage to help him complete the quest as he comes face to face with elves, trolls, orcs, spiders, wolves, and more. [Sierra]"
"1108","Nicktoons: Battle for Volcano Island","October 24, 2006","59","An ancient evil known as Mawgu threatens to take control of Volcano Island, and it's up to our Nicktoons heroes to defeat him. Join SpongeBob, Timmy Turner and Danny Phantom, along with new recruits Patrick Star, Sandy Cheeks and Samantha Manson for all out battle on...Volcano Island! Play as SpongeBob, Danny Phantom, Timmy Turner, Patrick Star, Sandy Cheeks, or Samatha Mason. Unlock bonus levels and crazy costumes. Three different game modes: Single Play, Download Play, and Wireless Play. Multi-player mayhem: Join or leave the game at anytime. [THQ]"
"1109","Armored Core: Last Raven","June 13, 2006","59","Two powerful groups, the Alliance and the Vertex, are fighting for world dominance and victory hinges upon the ""Raven"" pilots. You are a Raven, an elite mech warrior who must choose sides between the fighting powers. Ravens face the ultimate decision in the fight for survival, either to fiercely defend their chosen side or fight alone and face the wrath of all Ravens. [Agetec Inc.]"
"1110","Bloody Roar 4","November 11, 2003","59","Bloody Roar returns and is darker, bloodier and fiercer than ever! 14 returning fighters are joined by three brand-new characters in the newest battle of the beast-fighters. Transform into ferocious inner-beasts and attack with fangs and claws in 3D fighting areas to see who is the ultimate beast-fighter champion! Balance power and health with the new ""Zoanthropes Guage"". Dramatic story mode for each fighter. 9 modes of gameplay including Arcade and Character Development. Full 3D combat system with aerial juggles, counters, blocks, chains. [Konami]"
"1111","Teenage Mutant Ninja Turtles","October 21, 2003","59","Be your favorite Teenage Mutant Ninja Turtle and master your ultimate ninja skills in their action packed world. Roam NYC streets, scour underground sewers and fight your way across rooftops on a collision course with The Shredder and his vile pack of Foot Ninjas. Master ninja butt-kickin' skills in action-based gameplay. Discover scrolls and items to unlock special attack moves and effects. Interact with characters such as Splinter and Casey Jones . Faithful representation of the FoxBox's TMNT animated series. [Konami]"
"1112","Robin Hood: Defender of the Crown","September 30, 2003","59","Users take on the role of Robin Hood on a quest to restore peace in England. The throne has been stolen by the evil Prince John. Robin Hood must battle his way through the country in a wide range of action sequences and fighting styles to restore the throne to the rightful king. The game blends action with strategy and RPG elements to immerse the player in the epic tale of Robin Hood. Battle your way through five types of medieval combat, including archery,jousting, sword fighting, siege warfare and army battles. Multiple endings ? eight different paths dependent on player performance and decisions. 38 territories to conquer. Includes all main characters from the Robin Hood story: Little John, Friar Tuck, Will Scarlet, Maid Marian and more. [Capcom]"
"1113","Monster House","July 18, 2006","59","Do you have what it takes to save the neighborhood? The Monster House allows players to experience key moments of the movie as they uncover the mysteries of the house in order to save their neighborhood. Players also take on unique adventures that were inspired by the film. With three playable characters, fans of the film enjoy seeing the movie come to life in their living rooms. Explore a living, breathing house full of traps and mystery. Use water blasters to battle creatures created from a combination of different household objects. Spooky surprises and unexpected random events keep players constantly on their guard. Play ""Thou art dead"", the 2D arcade game that appears in the movie. [THQ]"
"1114","Asterix & Obelix: Kick Buttix","September 14, 2004","59","The year is 50 BC. Gaul is entirely occupied by the Romans. Well, not entirely? One small village of indomitable Gauls still holds out against the invaders. Among these resolute Gauls are our two heroes: Asterix and Obelix. One day, when Asterix and Obelix are out hunting, Caesar's troops take advantage of their absence and capture the other villagers. Even worse, the invaders also seize the druid, Getafix, along with the magic strength potion he was brewing! Caesar has left nothing to chance. The Gaulish prisoners are triple-locked to carts, each closely guarded by a whole legion of Romans. The carts are taken to the farthest corners of the Roman Empire, and the cauldron of potion is on its way to Rome. When they return to their village, Asterix and Obelix quickly figure out what has happened, and they immediately search for their friends. So begins an adventure of historic proportions. [Atari]"
"1115","Pryzm Chapter One: The Dark Unicorn","June 10, 2002","59","A corrupting plague of dark magic grips the world... once lush lands have turned barren, and the inhabitants have become hostile mutant creatures. Now, join the quest of a unique young unicorn and a tenacious old troll in a desperate bid to find and destroy the source of the curse. Journey through four vast and eerie lands - each with four levels to explore. Cast eight powerful spells against 24 bizarre mutant enemies. Battle five gargantuan bosses and sub-bosses. Restore lands and inhabitants to health and witness their amazing transformation. [TDK Mediactive]"
"1116","Motor Mayhem: Vehicular Combat League","June 20, 2001","59","Another car combat game (released, oddly, at the same time as ""Twisted Metal: Black""), this one of the post-apocalyptic variety, features Quick Start and Career Modes with 3 kinds of tournaments:  Eliminator, Deathmatch and Endurance."
"1117","NBA 08","September 26, 2007","59","True NBA action once again returns to the courts with NBA 08 for the PlayStation 2. Featuring the third and final installment of ""The Life"" series, NBA 08 introduces ""The Life, Volume 3"", where players experience new challenges and storylines related to life in the league. In Vol. 3, NBA ’08 focuses on Coach T.'s final season, the dynamic of team unity, and the journey to create a dynasty within the NBA. More than 60 different game scenarios are available in The Life, and players will have the opportunity to play each of the five starting positions, making The Life the most compelling addition to any NBA title to date. NBA 08 delivers all-new play-by-play commentary as well as improved artificial intelligence (A.I.), an updated user interface, and new on-court and crowd audio to enhance the overall gameplay experience. Returning features include the Smart Shot Indicator, to provide a visual gauge of defensive impact, and the Power Boarding System, an element that offers a 3D approach to position for rebounds. Additionally, ""Showtime Gameplay"" is back, providing players the opportunity to manage and balance a variety of game time elements including temperamental crowds, eager teammates, and individual basketball skills. [SCEA]"
"1118","Way of the Samurai 2","July 7, 2004","59","A peacful town finds itself victim to extreme violence and unrest. Gangs are spreading fear and tyranny among the townspeople, while the government is supressing justice with a brutal hand. A Lone warrior arrives with the ability to change the town's destiny. Experience life as a Samurai in feudal Japan and battle to save the town of Amahara. Features multiple endings based on players decisions - help free the innocent or join the corrupt. Experience traditional Samurai techniques with realistic sword fighting - acrobatic ninja style, quick slash, twin swords and more... More than 60 swords to battle with - find famous and powerful swords among the townspeople. Tons of special moves to take over your enemy. [Capcom]"
"1119","WarJetz","June 27, 2001","59","Welcome to Wednesday Night WarJetz, the year 2062's favorite post-nuclear war, televised aerial dogfighting extravaganza featuring fanatical pilots in nine different souped-up, artillery laden planes in 33 arenas which blast the living hell out of anything that moves, earning money en route to the WDL championship."
"1120","Evergrace","October 24, 2000","59","Enter a world of intense magic and thunderous battles - where your survival is determined on collecting powerful artifacts and fashioning them to your armour and weaponry. Two complete adventures await Darius and Sharline - heroes who must face an evil reborn. Begin your journey as either hero and discover unique characters and monsters for each adventurer. Master the art of arming yourself with items of incredible might and untold magical abilities to thwart the powers of darkness that have swept into your once peaceful land."
"1121","Playboy: The Mansion","January 25, 2005","59","Be Heff!  Playboy: The Mansion blends state-of-the-art social simulation with traditional role-playing and empire-building gameplay. As Hugh Hefner, you build the Playboy mansion and magazine into a dynamic cultural icon and powerful brand. Rub shoulders with stunning women and stimulating celebrities as you pursue the ultimate Playboy lifestyle. Grow famous and gain exclusive access to the Playboy Archives, including footage of the world-famous Playboy Mansion. This is the ultimate lifestyle game, allowing the gamer to ""Play Hef"" and live the good life.  The player is in charge of running the Playboy Empire and must put out a magazine each month. In order to generate content for the magazine, the Virtual Hef will throw incredible parties with celebrities and rockstars in tow.  The social management of the parties will enable the player to acquire content for the magazine, including the unique, sexy Photo Shoot feature which the gamer will use to get his or her cover shot.  With a broad depth of gameplay, and a simulation experience of the ultimate lifestyle, PTM lets a gamer Play Hef, build the dream and live the good life. [ARUSH]"
"1122","Tony Hawk's Downhill Jam","May 8, 2007","59","Tony Hawk's Downhill Jam delivers an innovative and unique skateboard experience focused on head-to-head racing. The game allows players to feel the breakneck speed of downhill competition as they tear up the world's steepest terrains while performing tricks and outmaneuvering opponents in such locations as San Francisco, Machu Picchu and Hong Kong. Taking on the role of Tony Hawk or one of nine characters, players compete in time-based challenges in one of three gameplay modes including race, trick and slalom. The game features four new single player events, three new multiplayer modes and three new playable characters who contend in the ultimate skateboard racing experience. [Activision]"
"1123","The Fast and the Furious","September 26, 2006","59","Inspired by the events of Universal Pictures' upcoming film, ""The Fast & The Furious: Tokyo Drift,"" this game immerses players in the underground world of drift racing. Set in a world related to, yet separate from, the movie, the game features a drift mechanic that makes drifting accessible to both beginning and veteran racing game drivers. Gameplay features revolutionary new systems like the Drift Indicator. Turn on the assists and feel like a pro, or turn them off and hone your drift skills. Focusing on the ""next big thing"" in underground street racing this video game utilizes Universal’s extensive sound library, an incredible context based camera code, a revolutionary context based rumble system that gives players the feeling of driving city streets at break neck speeds like no other. Immerse yourself in the world of the game. 10,000+ polygon model cars, cinematic camera angles straight from the movie, unique boss challenges, stunning visuals and an Advanced Rubber Band AI system. Tune your ride with a hundred licensed wheels, and over 500 body kits from real JDM companies. Tune your ride like never before from performance to appearance, and for the first time ever swap out your engine to truly push the limits of your vehicle. [Namco Bandai]"
"1124","Riding Spirits","August 31, 2002","59","Hit the road on 200 of the fastest two-wheel machines on the planet from companies like Yamaha, Honda and Suzuki in the most accurate motorcycle racing game ever created. Earn your chance to sit astride these racing rockets by speeding to victory, winning cash for taking races. Spend your winnings on new bikes and all the racing gear you'll need to make you look as good as you ride. Drop serious dollars in the shop, adding better wheels, tighter suspension and bigger engines to your bike, taking it from stock ride to tricked-out racing machine. Anyone can wheel a bike out of a dealership -- can you tune yours to be a winner? Test the limits of your abilities on courses where a split-second decision means the difference between victory or defeat. Start your career and begin building your rep, as you crank open the throttle across 16 different tracks in America, Japan and Europe. [BAM Entertainment]"
"1125","Tokyo Xtreme Racer DRIFT","April 18, 2006","59","(Also known as ""Drift Racer: Kaido Battle"")   Developed by Genki as the sport's first authentic videogame simulator, Tokyo Xtreme Racer DRIFT fully immerses players in the world of drift racing. The game faithfully recreates the Kaido so players can race the very roads where the sport was born, and further enhances the realism with more than 150 licensed cars to unlock in the course of the game. The game also has sponsored race parts for detailed car tuning and modifications to handling physics, along with five play modes that cover underground and sanctioned drift racing and the sport's variety of speed and style-driven competition. Drift Racer: Kaido Battle has more than 150 licensed cars from over a dozen manufacturers like Nissan, Subaru, Mitsubishi, Mazda and Volkswagen, with variable handling physics and detailed car tuning using sponsored race parts. The game offers five modes of play for stylistic precision-driving and racing for 1 or 2 players, including a career mode that pits players against nearly 200 underground racers in official daytime events and underground nighttime races."
"1126","Everblue 2","February 24, 2003","59","Explore the Magic of Deep-Sea Diving. Follow heroes Leo and Zucco as they explore the truth behind tales of the Caribbean's Bermuda Triangle and Coral Reef inthis expansive underwater role-playing adventure. Uncover the sea's mysteries, as you freely explore sunken treasure ships, play with dolphins and other underwater sea life, wander the great Coral Sea and avoid shark attacks. It's a fun-filled adventure for all ages! [Capcom]"
"1127","King Arthur","November 17, 2004","59","The King Arthur video game is inspired by the epic true story that gave rise to the King Arthur legend. The real story of King Arthur will be played out with intense battles, innovative combat and realistic environments. The game will immerse fans into the lush environments and vivid scenery from the feature film. Players take control of the motion picture's heroes – Arthur, Lancelot, Guinevere, Tristren or Bors – and utilize their unique skills as they embark on a perilous mission revealing the historic tale of the real Knights of the Round Table. Featuring single or cooperative play, combat on horseback and multiple mission types with diverse goals, the King Arthur video game will provide a cinematic action adventure experience of epic scale. [Konami]"
"1128","NBA ShootOut 2004","October 29, 2003","58","Features enhanced Career Mode enabling gamers to create a player and earn a spot on an NBA team, NBA ShootOut 2004 now also enables users to take their skills online, leveraging the new USB Headset to rally teammates and compete against anyone around the country, or use the offline voice recognition capabilities to execute specific plays."
"1129","Casper: Spirit Dimensions","September 30, 2001","58","In the Spirit world where evil prevails, Casper must use all of his ghostly powers to defeat Kibosh's wicked plot to rule all. Traveling by flight through mysterious portals, Casper will discover phantom dimensions where he must destroy the haunting spirits that are out to stop his mission. [TDK Mediactive]"
"1130","Commandos Strike Force","April 4, 2006","58","In the most fearsome war ever fought, emerged the most fearless soldiers – the Commandos. Have you got what it takes to join the original elite Special Force in the World War II shooter Commandos Strike Force? In a new direction for the multi-million selling series, Commandos Strike Force takes you right into the heart of the action from a first person perspective. Take control of the three members of the Strike Force unit, each with their own play style. Switch between the Green Beret, always at the heart of the action with his expertise in combat and the use of heavy weaponry; the Sniper with his nerves of steel and expert marksmanship; and the Spy, stealthily striking at the heart of the enemy. However, it is your choice how you execute plans of attack by using the Commandos' unique skills. Set in war torn Europe amid the backdrop of World War II, you must take your highly trained group on a series of daring missions, deep behind enemy lines in France, Norway and Russia. Taking control of a Nazi-occupied town, freeing French Resistance prisoners and kidnapping a general are a few of the large range of missions. As well as a compelling single player campaign, the game features a variety of online multiplayer modes. [Eidos Interactive]"
"1131","Eagle Eye Golf","October 10, 2006","58","Eagle Eye Golf is a golf simulator. Play many different game modes to improve every ability necessary to win the tournament. This title is also very customizable: you can create a golfer as you like and even edit couses from scratch. At least three different emnvironments await you: desert, grass and reef, use every object to create your dream course. If you want you can re-edit the entire game and save it! Beautifil trees moving by wind and birds flying throuh the sky complete the stage. Play a real simulation in a realistic environment. [505 GameStreet]"
"1132","Jackass the Game","September 24, 2007","58","Johnny knoxville and the jackass crew are knee deep in their latest series of ill-conceived stunts, pranks and acts of indecency, and this time you’re in the director's seat. Take control of your favorite degenerates through a massive range of all-new challenges. An onslaught of absurd situations lower the bar and up the ante for the self-inflicted injury, degradation and low moral caliber you’ve come to love and expect from this special group of idiots. [Red Mile Entertainment]"
"1133","L.A. Rush","October 11, 2005","58","An innovative racing videogame based on the sport of competitive street racing and the fanatical, ruthless lifestyles of those involved. Based on entirely new technology that recreates a living, breathing go anywhere Los Angeles with highly destructible environments, players will be able to explore Los Angeles by day or by night from Compton, to LAX, Hollywood, Beverly Hills, and the beaches of Santa Monica. Pure racing skills are on the line as the world's best street racers gather in L.A. and the player's self-respect is up for grabs in a variety of non-racing driving missions. Cop chases, gridlock, cross-traffic, high-flying jumps, and the death-defying shortcuts that the Rush franchise is known for take L.A. Rush beyond the standard tuner-car simulation game. Featuring a number of gameplay modes and unique objectives, L.A. Rush will feature more than 50 licensed and concept cars, classic muscle cars, SUVs and import tuners, customizable part manufacturers and designs (including several exclusive West Coast Customs vehicle concepts), celebrity talent, music and much more. [Midway]"
"1134","Over the Hedge","May 9, 2006","58","When a housing development intrudes on their woodland habitat and an opossum is kidnapped by an evil exterminator, three wise-cracking rodents and one very neurotic reptile invade the 'burbs in a quest to rescue their friend. Battle the exterminator and his army of mind-controlled mammals, and save the forest (and your own hide) from the world’s peskiest critter-man. [Activision]"
"1135","Samurai Western","June 7, 2005","58","It's the American West during the 1800's. The days of pioneers and the Gold Rush are ending, and a transcontinental railway is in place. One day, a lone stranger arrives in a tiny, windswept desert town? His long hair is drawn back in a topknot and he wears strange foreign clothes. A mysterious-looking blade that is neither a knife nor a saber hangs from his belt. This mysterious stranger is certainly no gunman, and he ain't no indian? His name is Gojiro Kiryu, and he's bringing justice back to the Old West. Slash your way through 16 different missions. ""Bushido Sense"" allows you to dodge and deflect bullets with superhuman skill. Customize your hero by choosing between 10 different stances each with their own special attacks and powers. Over 100 unlockables including over 25 playable characters, 70 accessories and 20 weapons. Be a Samurai or a Gunman! Unique 2 player mode allows you to play as both. Unleash the power of the samurai in Master Mode and chain hundred-hit combos. [Atlus]"
"1136","ShellShock: Nam '67","September 14, 2004","58","ShellShock: Nam '67 focuses on one man?s experience of the most controversial war of modern times. You take on the role of a rookie soldier on his first tour of duty as he experiences the fear, chaos and atrocities of the Vietnam War. From the napalm bombardments of civilian villages and the gruesome VC (Viet Cong) boobytraps, to the permanent threat of invisible foes and deadly ambushes, Shellshock: Nam '67 dares to go where no other war game has gone. Powered by Guerrilla?s ground-breaking technology, ShellShock: Nam ?67 delivers a graphically harrowing depiction of the terror of combat. You must fight your way through a variety of missions ranging from large scale battlefield encounters with the North Vietnamese Army to stealth-based missions such as assassinating a VC General. As you progress from a ?grunt? to Special Forces carrying out classified missions, you will have to rely on the same skills and tactics employed in the battlefields of Vietnam in order to survive. Your tour will take you from the lush wetlands of the South to the mountain borders of the North featuring diverse locations including dense jungles, rural Vietnamese villages and claustrophobic tunnel systems. [Eidos Interactive]"
